timestamp,time,mac_address,rssi,tx_power,rawX,rawY,pos_z,position_calculation_timestamp,position_calculation_status,markers_info,expectedX,expectedY,errorX,errorY,euclideanError
1764640583817,2025-12-02 10:56:23.817,AC:23:3F:26:3E:EF,-83,127,0.6361602374262494,27.033201687889385,1.455821850312141,1764640583817,calculated,,0.6361602374262494,27.033201687889385,0.0,0.0,0.0
1764640584003,2025-12-02 10:56:24.003,AC:23:3F:26:3E:EF,-84,127,0.6178108731552772,27.00078991114482,1.4498976068564886,1764640584003,calculated,,0.6363655448777551,26.96776545180647,-0.018554671722477933,0.03302445933834974,0.037879951918122046
1764640584273,2025-12-02 10:56:24.273,68:9E:19:03:95:F1,-79,127,0.6178108731552772,26.97760675319466,1.455821850312141,1764640584273,calculated,,0.6366635718234893,26.872777367169984,-0.018852698668212153,0.10482938602467584,0.10651114693488617
1764640584598,2025-12-02 10:56:24.598,AC:23:3F:26:3E:EF,-80,127,0.6178108731552772,26.97222040848522,1.4637857103682177,1764640584598,calculated,,0.637022307961873,26.75843985788532,-0.019211434806595817,0.21378055059989975,0.21464203465799606
1764640584787,2025-12-02 10:56:24.787,AC:23:3F:26:3E:F2,-77,127,0.6178108731552772,26.9511800454356,1.4637857103682177,1764640584787,calculated,,0.6372309268238869,26.691948198639782,-0.01942005366860977,0.25923184679581723,0.2599582444887289
1764640584871,2025-12-02 10:56:24.871,68:9E:19:03:95:84,-72,127,0.6350589499939596,26.912865663800392,1.4788787400849368,1764640584871,calculated,,0.6373236463181153,26.66239635008621,-0.0022646963241557128,0.25046931371418424,0.2504795519835803
1764640585026,2025-12-02 10:56:25.026,AC:23:3F:26:3E:F1,-63,127,0.6663486329222912,26.866020523006657,1.4788787400849368,1764640585026,calculated,,0.6374947358610368,26.607866153350447,0.028853897061254408,0.25815436965621075,0.25976186392197176
1764640585147,2025-12-02 10:56:25.147,68:9E:19:03:95:F1,-78,127,0.6956661327172686,26.840545145405457,1.4813489625173215,1764640585147,calculated,,0.6376282960848658,26.565297419124466,0.058037836632402806,0.27524772628099115,0.281300020092116
1764640585292,2025-12-02 10:56:25.292,AC:23:3F:26:3E:EF,-82,127,0.6702837518368969,26.83452526584737,1.4813489625173215,1764640585292,calculated,,0.63778834759276,26.514285299597464,0.03249540424413688,0.32023996624990403,0.32188443156003915
1764640585452,2025-12-02 10:56:25.452,68:9E:19:03:95:F1,-76,127,0.7221042175465668,26.653886069826164,1.4318784731169365,1764640585452,calculated,,0.637964956153195,26.457996064257323,0.0841392613933718,0.19589000556884173,0.21319547272299896
1764640585558,2025-12-02 10:56:25.558,68:9E:19:03:95:F1,-81,127,0.7221042175465668,26.653886069826164,1.4318784731169365,1764640585558,calculated,,0.6380819593244833,26.42070444584448,0.08402225822208353,0.23318162398168596,0.2478576398650541
1764640585665,2025-12-02 10:56:25.665,68:9E:19:03:95:F1,-74,127,0.7215386294166801,26.52310238216834,1.431730473441729,1764640585665,calculated,,0.6382000662992743,26.38306101971076,0.08333856311740584,0.14004136245758048,0.16296287706545093
