optimizedRawX;optimizedRawY;sampleSpaceMillis;multipleMarkersBehaviour;timestamp
3,733;0,691;0;CLOSEST;0
3,733;0,691;0;WEIGHTED_AVERAGE;0
3,733;0,691;0;AVERAGE;0
3,733;0,691;0;WEIGHTED_MEDIAN;0
3,733;0,691;0;MEDIAN;0
3,7647172051004953;0,6890072413900675;0;CLOSEST;277
3,7279953885145;0,6913144344716218;0;WEIGHTED_AVERAGE;277
3,719718456238181;0,6918344654139826;0;AVERAGE;277
3,700275786095853;0,6930560279130565;0;WEIGHTED_MEDIAN;277
3,700275786095853;0,6930560279130565;0;MEDIAN;277
3,749614825977915;0,689956107973098;0;CLOSEST;351
3,7211803353827153;0,6917426170861517;0;WEIGHTED_AVERAGE;351
3,7146844635074863;0,6921507458783125;0;AVERAGE;351
3,699282013578455;0,6931184655942484;0;WEIGHTED_MEDIAN;351
3,699282013578455;0,6931184655942484;0;MEDIAN;351
3,7647172051004953;0,6890072413900675;0;CLOSEST;404
3,7279953885145;0,6913144344716218;0;WEIGHTED_AVERAGE;404
3,719718456238181;0,6918344654139826;0;AVERAGE;404
3,700275786095853;0,6930560279130565;0;WEIGHTED_MEDIAN;404
3,700275786095853;0,6930560279130565;0;MEDIAN;404
3,7647172051004953;0,6890072413900675;0;CLOSEST;457
3,7279953885145;0,6913144344716218;0;WEIGHTED_AVERAGE;457
3,719718456238181;0,6918344654139826;0;AVERAGE;457
3,700275786095853;0,6930560279130565;0;WEIGHTED_MEDIAN;457
3,700275786095853;0,6930560279130565;0;MEDIAN;457
3,780455227028089;0,6880184380386957;0;CLOSEST;509
3,745051156977656;0,6902428384925222;0;WEIGHTED_AVERAGE;509
3,736810513285236;0,6907605894613552;0;AVERAGE;509
3,7243581688540974;0,6915429571542326;0;WEIGHTED_MEDIAN;509
3,7243581688540974;0,6915429571542326;0;MEDIAN;509
3,7615539217913705;0,6892059871506079;0;CLOSEST;565
3,732879101880658;0,691007595901577;0;WEIGHTED_AVERAGE;565
3,726283223446745;0,6914220080005499;0;AVERAGE;565
3,731808734302708;0,691074845969797;0;WEIGHTED_MEDIAN;565
3,731808734302708;0,691074845969797;0;MEDIAN;565
3,737080119658537;0,6907436503767168;0;CLOSEST;619
3,710998754448641;0,692382315098786;0;WEIGHTED_AVERAGE;619
