timestamp;execution_id;video;multipleMarkersBehaviour;amountMarkersEmployed;sampleSpaceMillis;RT_ransac_threshold;kalmanQ;kalmanR;realX;realY;realZ;rawX;rawY;rawZ;kalmanX;kalmanY;kalmanZ;errorX;errorY;errorZ;euclideanError;euclideanError3d;markers_info;;alpha;ti;tf;xi;yi;xf;yf
351;1748330475944;v1;CLOSEST;1;0;0;0,0001;0,01;3,65812;0,695704631578947;1,355;3,755103;0,77730715;1,355942;0;0;0;0,0969829999999998;0,0816025184210526;0,000941999999999998;0,126746492265697;0,126749992763938;[PositionFromMarker(markerId=5, x=3.7551031839638287, y=0.7773071784865648, z=1.3559419929551177, distance=2.875827910815823)];;0,0246315789473684;0;14250;3,733;0,691;0,693;0,882
351;1748330475944;v1;WEIGHTED_AVERAGE;3;0;0;0,0001;0,01;3,65812;0,695704631578947;1,355;3,7269766;0,7839973;1,3175343;0;0;0;0,0688565999999997;0,0882926684210527;0,0374657;0,111967971583261;0,118069917154879;[PositionFromMarker(markerId=3, x=3.7045713898635007, y=0.601510576072665, z=1.136780745160712, distance=3.7619471251690024), PositionFromMarker(markerId=27, x=3.7017523690365177, y=0.9741585497288942, z=1.4303266989571362, distance=3.7251679565285905), PositionFromMarker(markerId=5, x=3.7551031839638287, y=0.7773071784865648, z=1.3559419929551177, distance=2.875827910815823)];;0,0246315789473684;0;14250;3,733;0,691;0,693;0,882
351;1748330475944;v1;AVERAGE;3;0;0;0,0001;0,01;3,65812;0,695704631578947;1,355;3,7204757;0,7843254;1,3076831;0;0;0;0,0623556999999999;0,0886207684210526;0,0473169;0,108359927639455;0,118240276317497;[PositionFromMarker(markerId=3, x=3.7045713898635007, y=0.601510576072665, z=1.136780745160712, distance=3.7619471251690024), PositionFromMarker(markerId=27, x=3.7017523690365177, y=0.9741585497288942, z=1.4303266989571362, distance=3.7251679565285905), PositionFromMarker(markerId=5, x=3.7551031839638287, y=0.7773071784865648, z=1.3559419929551177, distance=2.875827910815823)];;0,0246315789473684;0;14250;3,733;0,691;0,693;0,882
351;1748330475944;v1;WEIGHTED_MEDIAN;3;0;0;0,0001;0,01;3,65812;0,695704631578947;1,355;3,7045715;0,77730715;1,355942;0;0;0;0,0464514999999999;0,0816025184210526;0,000941999999999998;0,0938973528109729;0,0939020778732202;[PositionFromMarker(markerId=3, x=3.7045713898635007, y=0.601510576072665, z=1.136780745160712, distance=3.7619471251690024), PositionFromMarker(markerId=27, x=3.7017523690365177, y=0.9741585497288942, z=1.4303266989571362, distance=3.7251679565285905), PositionFromMarker(markerId=5, x=3.7551031839638287, y=0.7773071784865648, z=1.3559419929551177, distance=2.875827910815823)];;0,0246315789473684;0;14250;3,733;0,691;0,693;0,882
351;1748330475944;v1;MEDIAN;3;0;0;0,0001;0,01;3,65812;0,695704631578947;1,355;3,7045715;0,77730715;1,355942;0;0;0;0,0464514999999999;0,0816025184210526;0,000941999999999998;0,0938973528109729;0,0939020778732202;[PositionFromMarker(markerId=3, x=3.7045713898635007, y=0.601510576072665, z=1.136780745160712, distance=3.7619471251690024), PositionFromMarker(markerId=27, x=3.7017523690365177, y=0.9741585497288942, z=1.4303266989571362, distance=3.7251679565285905), PositionFromMarker(markerId=5, x=3.7551031839638287, y=0.7773071784865648, z=1.3559419929551177, distance=2.875827910815823)];;0,0246315789473684;0;14250;3,733;0,691;0,693;0,882
404;1748330475944;v1;CLOSEST;1;0;0;0,0001;0,01;3,64681333333333;0,69641501754386;1,355;3,7692673;0,7614276;1,4043618;0;0;0;0,122453966666667;0,0650125824561404;0,0493618;0,138642020433988;0,147167242038636;[PositionFromMarker(markerId=5, x=3.7692672149412045, y=0.7614276064727843, z=1.4043617894888785, distance=2.885395703510661)];;0,0283508771929825;0;14250;3,733;0,691;0,693;0,882
404;1748330475944;v1;WEIGHTED_AVERAGE;3;0;0;0,0001;0,01;3,64681333333333;0,69641501754386;1,355;3,7333639;0,7767609;1,3395447;0;0;0;0,0865505666666668;0,0803458824561404;0,0154553;0,118095137147884;0,119102173431334;[PositionFromMarker(markerId=3, x=3.7045713898635007, y=0.601510576072665, z=1.136780745160712, distance=3.7619471251690024), PositionFromMarker(markerId=27, x=3.7017523690365177, y=0.9741585497288942, z=1.4303266989571362, distance=3.7251679565285905), PositionFromMarker(markerId=5, x=3.7692672149412045, y=0.7614276064727843, z=1.4043617894888785, distance=2.885395703510661)];;0,0283508771929825;0;14250;3,733;0,691;0,693;0,882
404;1748330475944;v1;AVERAGE;3;0;0;0,0001;0,01;3,64681333333333;0,69641501754386;1,355;3,725197;0,77903223;1,3238231;0;0;0;0,0783836666666669;0,0826172124561404;0,0311769;0,113884164808522;0,118074561560671;[PositionFromMarker(markerId=3, x=3.7045713898635007, y=0.601510576072665, z=1.136780745160712, distance=3.7619471251690024), PositionFromMarker(markerId=27, x=3.7017523690365177, y=0.9741585497288942, z=1.4303266989571362, distance=3.7251679565285905), PositionFromMarker(markerId=5, x=3.7692672149412045, y=0.7614276064727843, z=1.4043617894888785, distance=2.885395703510661)];;0,0283508771929825;0;14250;3,733;0,691;0,693;0,882
404;1748330475944;v1;WEIGHTED_MEDIAN;3;0;0;0,0001;0,01;3,64681333333333;0,69641501754386;1,355;3,7045715;0,7614276;1,4043618;0;0;0;0,0577581666666669;0,0650125824561404;0,0493618;0,0869634503358234;0,0999961448934469;[PositionFromMarker(markerId=3, x=3.7045713898635007, y=0.601510576072665, z=1.136780745160712, distance=3.7619471251690024), PositionFromMarker(markerId=27, x=3.7017523690365177, y=0.9741585497288942, z=1.4303266989571362, distance=3.7251679565285905), PositionFromMarker(markerId=5, x=3.7692672149412045, y=0.7614276064727843, z=1.4043617894888785, distance=2.885395703510661)];;0,0283508771929825;0;14250;3,733;0,691;0,693;0,882
404;1748330475944;v1;MEDIAN;3;0;0;0,0001;0,01;3,64681333333333;0,69641501754386;1,355;3,7045715;0,7614276;1,4043618;0;0;0;0,0577581666666669;0,0650125824561404;0,0493618;0,0869634503358234;0,0999961448934469;[PositionFromMarker(markerId=3, x=3.7045713898635007, y=0.601510576072665, z=1.136780745160712, distance=3.7619471251690024), PositionFromMarker(markerId=27, x=3.7017523690365177, y=0.9741585497288942, z=1.4303266989571362, distance=3.7251679565285905), PositionFromMarker(markerId=5, x=3.7692672149412045, y=0.7614276064727843, z=1.4043617894888785, distance=2.885395703510661)];;0,0283508771929825;0;14250;3,733;0,691;0,693;0,882
